City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Kruisfontein,ZA,2020-11-08 22:08:31,-34.0,24.73,57.0,95,100,1.99,
172,Manggar,ID,2020-11-08 22:08:31,-2.88,108.27,78.75,80,85,1.72,
173,Monrovia,LR,2020-11-08 22:04:00,6.3,-10.8,79.65,83,67,6.62,
174,Laguna,US,2020-11-08 22:06:56,38.42,-121.42,59.0,20,1,14.99,
175,Airai,TL,2020-11-08 22:08:32,-8.93,125.41,63.39,71,36,2.37,
176,Damghan,IR,2020-11-08 22:08:32,36.17,54.35,45.99,58,1,1.61,
177,Bluff,NZ,2020-11-08 22:08:32,-46.6,168.33,54.0,76,88,8.01,
178,Baytown,US,2020-11-08 22:08:32,29.74,-94.98,80.01,71,34,3.0,
179,Upernavik,GL,2020-11-08 22:08:24,72.79,-56.15,-4.61,75,0,8.32,
180,Marienburg,PL,2020-11-08 22:08:33,54.04,19.03,46.99,100,1,1.95,
181,Nanortalik,GL,2020-11-08 22:08:33,60.14,-45.24,31.44,95,100,13.51,
182,Esperance,AU,2020-11-08 22:08:33,-33.87,121.9,62.6,72,0,14.99,
183,Mananjary,MG,2020-11-08 22:08:33,-21.22,48.33,72.12,85,44,6.64,
184,Verkhniy Landekh,RU,2020-11-08 22:08:33,56.84,42.6,32.47,93,0,11.03,
185,Lakatoro,VU,2020-11-08 22:08:33,-16.1,167.42,82.4,78,75,2.24,
186,Ostrovnoy,RU,2020-11-08 22:08:34,68.05,39.51,35.73,91,100,18.37,
187,Lompoc,US,2020-11-08 22:08:34,34.64,-120.46,57.2,62,75,20.8,
188,Taksimo,RU,2020-11-08 22:08:34,56.34,114.88,7.84,91,100,1.74,
189,Nome,US,2020-11-08 22:07:19,64.5,-165.41,27.0,73,1,4.7,
190,Shimoda,JP,2020-11-08 22:08:34,34.67,138.95,53.01,75,13,4.9,
191,Harper,LR,2020-11-08 22:08:34,4.38,-7.72,78.78,85,49,8.19,
192,Can,TR,2020-11-08 22:08:35,40.03,27.05,59.0,67,0,14.99,
193,Kungurtug,RU,2020-11-08 22:08:35,50.6,97.52,23.95,91,0,2.71,
194,Balarampur,IN,2020-11-08 22:08:35,23.12,86.22,63.21,53,0,4.45,
195,Yarada,IN,2020-11-08 22:08:35,17.65,83.27,71.6,83,0,2.24,
196,Xuanhua,CN,2020-11-08 22:08:35,40.61,115.04,34.81,69,0,2.98,
197,Broome,US,2020-11-08 22:08:35,42.25,-75.83,66.2,34,1,4.7,
198,Akdepe,TM,2020-11-08 22:08:35,42.06,59.38,37.4,80,0,4.7,
199,Hay River,CA,2020-11-08 22:08:36,60.82,-115.8,24.8,68,0,12.75,
200,Vila Franca Do Campo,PT,2020-11-08 22:08:36,37.72,-25.43,55.4,82,20,3.36,
201,Wooster,US,2020-11-08 22:08:36,40.81,-81.94,73.4,38,1,4.7,
202,Dikson,RU,2020-11-08 22:08:36,73.51,80.55,2.98,94,98,12.01,
203,New Richmond,US,2020-11-08 22:08:36,45.12,-92.54,71.6,52,1,23.04,
204,Tarko-Sale,RU,2020-11-08 22:08:37,64.92,77.78,30.0,95,100,9.28,
205,Mahanoro,MG,2020-11-08 22:08:37,-19.9,48.8,71.47,86,20,2.28,
206,Abu Dhabi,AE,2020-11-08 22:07:22,24.47,54.37,80.6,74,0,4.7,
207,Sao Desiderio,BR,2020-11-08 22:08:37,-12.36,-44.97,76.33,69,6,3.22,
208,Cayenne,GF,2020-11-08 22:08:37,4.93,-52.33,82.4,78,0,9.17,
209,Saint-Joseph,RE,2020-11-08 22:08:38,-21.37,55.62,73.4,73,0,12.75,
210,Castro,BR,2020-11-08 22:06:58,-24.79,-50.01,72.46,51,55,5.88,
211,Stromness,GB,2020-11-08 22:08:38,58.97,-3.3,51.8,93,100,20.8,
212,Ishigaki,JP,2020-11-08 22:08:38,24.34,124.16,73.4,78,75,25.28,
213,Beira,MZ,2020-11-08 22:07:09,-19.84,34.84,78.8,88,0,10.29,
214,Nedjo,ET,2020-11-08 22:07:07,9.5,35.5,56.91,86,36,2.3,
215,Sundsvall,SE,2020-11-08 22:03:53,62.39,17.31,42.01,85,53,5.82,
216,Hasaki,JP,2020-11-08 22:08:39,35.73,140.83,50.0,76,75,1.12,
217,Longyearbyen,SJ,2020-11-08 22:07:03,78.22,15.64,26.6,79,75,9.17,
