City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2052,Maraba,BR,77.13,few clouds,-5.37,-49.12,Hotel Del Principe
2054,Robertsport,LR,79.11,broken clouds,6.75,-11.37,Kwepunha Retreat
2055,Sao Jose Da Coroa Grande,BR,76.98,few clouds,-8.9,-35.15,Crôa Mares Hotel
2058,Pathein,MM,77.94,clear sky,16.78,94.73,Pathein Hotel
2060,Codrington,AU,75.88,scattered clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
2062,Araouane,ML,78.48,clear sky,18.9,-3.53,
2063,Porbandar,IN,77.58,clear sky,21.64,69.61,Lords Inn Porbandar
2064,Mosetse,BW,78.06,light rain,-20.75,26.65,
2065,Taungdwingyi,MM,76.69,clear sky,20.02,95.55,NayNaing MobileService
2066,Ixtapa,MX,80.6,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
2071,Ouallam,NE,76.05,broken clouds,14.32,2.09,
2072,Takoradi,GH,78.4,light rain,4.88,-1.76,Raybow International Hotel
2074,San Policarpo,PH,84.47,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
2083,Labuhan,ID,86.85,broken clouds,-6.88,112.21,bador sepret
2086,Moree,AU,78.8,clear sky,-29.47,149.85,Molika Springs Motel
2091,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
2095,Georgetown,MY,82.4,moderate rain,5.41,100.34,Cititel Penang
2096,Bengkulu,ID,80.1,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
2103,Hobart,AU,75.0,clear sky,-42.88,147.33,St Ives Hobart Accommodation Tasmania
2110,Mecca,SA,75.6,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
2118,Lumphat,KH,79.93,overcast clouds,13.49,106.98,Lumphat Homestay
2120,Mangrol,IN,75.92,clear sky,21.12,70.12,Hotel The Royal Honours
2134,Sao Filipe,CV,79.56,clear sky,14.9,-24.5,Tortuga B&B
2139,Kpandae,GH,78.71,scattered clouds,8.47,-0.01,S. Amaski Guest House
2143,Qui Nhon,VN,77.05,light rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
2146,Victoria,HK,77.0,broken clouds,22.29,114.16,Mini Hotel Central
2147,Meulaboh,ID,80.94,heavy intensity rain,4.14,96.13,Kost Pria
2152,Vanimo,PG,87.21,broken clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
2154,Avarua,CK,80.6,broken clouds,-21.21,-159.78,Paradise Inn
2155,Bouloupari,NC,78.8,few clouds,-21.87,166.05,Oua-Ya Lodge
2160,Alvorada,BR,79.95,overcast clouds,-12.48,-49.12,Cristal Plaza Hotel
2162,Isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
2163,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
2164,Dicabisagan,PH,81.97,light rain,17.08,122.42,Nancy Montanes Bernardo
2168,Hithadhoo,MV,83.98,light rain,-0.6,73.08,Scoop Guest House
2172,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
2173,Charters Towers,AU,86.34,broken clouds,-20.1,146.27,Cattleman's Rest Motor Inn
2175,Acapulco,MX,82.4,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
2184,Honiara,SB,87.8,few clouds,-9.43,159.95,Heritage Park Hotel
2185,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
2187,Porto Novo,BJ,82.4,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
2190,Ambulu,ID,85.08,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
2195,Kismayo,SO,78.82,broken clouds,-0.36,42.55,Agan-Hotel
2202,Kavieng,PG,83.86,light rain,-2.57,150.8,Nusa Island Retreat
2207,Nishihara,JP,77.0,broken clouds,26.18,127.76,Minshuku Agaihama
2210,Kavaratti,IN,83.91,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
2216,Broken Hill,AU,86.0,broken clouds,-31.95,141.43,Daydream Motel & Cottages
2217,Atuona,PF,77.68,broken clouds,-9.8,-139.03,Villa Enata
2218,Butaritari,KI,81.9,clear sky,3.07,172.79,Isles Sunset Lodge
2220,Calabozo,VE,76.35,overcast clouds,8.92,-67.43,Hotel Giardini
2226,San Andres,CO,82.58,overcast clouds,12.58,-81.7,Hotel Arena Blanca
